language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	Ski::N	d͡ʒ a a r ʊ p ə ʈ ʈ i	jarup3ti	CARYPETI	KVRVPVTV
nucl1305	kan	Lagerfeuer::N	ɕ ɪ b ɪ r a a ɡ n i	Sibiragni	SIPIRAKNI	SVPVRVKNV
nucl1305	kan	Last::N	h ɔ r e	hore	HURE	HVRV
nucl1305	kan	Gang::N	t ɪ r ʊ ɡ a a ʈ a	tirugata	TIRYKATA	TVRVKVTV
nucl1305	kan	Schritt::N	h ɛ d d͡ʒ e	hEje	HECE	HVKV
nucl1305	kan	Norden::N	w ʊ t t ə r a	wut3ra	WYTERA	WVTVRV
nucl1305	kan	Süden::N	d ə k ʂ ɪ ɳ a	d3kSina	TEKSINA	TVKSVNV
nucl1305	kan	Westen::N	p ə ɕ t͡ʃ ɪ m a	p3SCima	PESCIMA	PVSKVMV
nucl1305	kan	Osten::N	m u u ɖ ə l u	mud3lu	MYTELY	MVTVRV
nucl1305	kan	Holz::N	t͡ʃ ə ʊ b i i n e	C3ubine	CEYPINE	KVPVNV
nucl1305	kan	Brett::N	h ə l ə ɡ e	h3l3ge	HELEKE	HVRVKV
nucl1305	kan	Platte::N	h ə l ə ɡ e	h3l3ge	HELEKE	HVRVKV
nucl1305	kan	Stütze::N	a a s ə r e	as3re	ASERE	VSVRV
nucl1305	kan	Stange::N	k ə ŋ b a	k3Nba	KENPA	KVNPV
