language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
tami1289	tam	Nagel::N	ɑ ɑ ɳ i	ani	ANI	VNV	1
telu1262	tel	Nagel::N	m e e k u	meku	MEKY	MVKV	2
mala1464	mal	Nagel[Anatomie]::N	n a kʰ a m	nakam	NAKAM	NVKVM	1
nucl1305	kan	Nagel[Anatomie]::N	w ʊ ɡ ʊ r u	wuguru	WYKYRY	WVKVRV	2
tami1289	tam	Nagel[Anatomie]::N	n ʌ h ʌ m	nohom	NEHEM	NVHVM	1
telu1262	tel	Nagel[Anatomie]::N	ɡ o o r u	goru	KURY	KVRV	2
mala1464	mal	nah::A	a ɾʲ i ɡ a t t u ɭ ɭ a	arigatuLa	ARIKATYLA	VRVKVTVRV	1
nucl1305	kan	nah::A	h ə t t ɪ r ə ʋ a a d a	h3tir3wada	HETIREWATA	HVTVRVWVTV	3
tami1289	tam	nah::A	p ʌ k k ʌ t t i l _ u ɭ ɭ ʌ	pokotiluLo	PEKETIL_YLE	PVKVTVR_VRV	1
telu1262	tel	nah::A	d ʌ ɡ ɡ ʌ ɽ ʌ n u n n ʌ	dogoronuno	TEKERENYNE	TVKVRVNVNV	2
mala1464	mal	nähen::V	t u n n u ɡ a	tunuga	TYNYKA	TVNVKV	1
nucl1305	kan	nähen::V	h ɔ l i	holi	HULI	HVRV	2
tami1289	tam	nähen::V	t ʌ i j ʌ l _ ʋ e e l ʌ i _ t͡ɕ e j	toiyolweloiCey	TEIJEL_WELEI_CEJ	TVJVR_WVRV_KVJ	3
telu1262	tel	nähen::V	k u ʈ ʈ u	kutu	KYTY	KVTV	3
mala1464	mal	Nahrung::N	bʰ a k ʂ a ɳ a m	bakSanam	PAKSANAM	PVKSVNVM	3
nucl1305	kan	Nahrung::N	a a h a a r a	ahara	AHARA	VHVRV	1
tami1289	tam	Nahrung::N	u ɳ ʌ ʋ u	unowu	YNEWY	VNVWV	2
telu1262	tel	Nahrung::N	a a h a a r ʌ m u	aharomu	AHAREMY	VHVRVMV	1
mala1464	mal	Name::N	p e e ɾʲ ɨ	per3	PERI	PVRV	1
nucl1305	kan	Name::N	h ɛ s ə r u	hEs3ru	HESERY	HVSVRV	1
tami1289	tam	Name::N	p e j ʌ ɾ	peyor	PEJER	PVJVR	1
telu1262	tel	Name::N	p e e r u	peru	PERY	PVRV	1
mala1464	mal	Nase::N	m u u k k ɨ	muk3	MYKI	MVKV	1
nucl1305	kan	Nase::N	m u u ɡ u	mugu	MYKY	MVKV	1
tami1289	tam	Nase::N	m u u k k u	muku	MYKY	MVKV	1
telu1262	tel	Nase::N	m u k k u	muku	MYKY	MVKV	1
mala1464	mal	nass::A	n a n a ɲ ɲ a	nana5a	NANANA	NVNVNV	2
nucl1305	kan	nass::A	w ɔ d d ɛ j a a d a	wodEyada	WUTEJATA	WVTVJVTV	2
tami1289	tam	nass::A	i i ɾ ʌ m ɑ ɑ n ʌ	iromano	IREMANE	VRVMVNV	1
telu1262	tel	nass::A	t ʌ ɖ i ɡ a a m ʌ n n ʌ	todigamono	TETIKAMENE	TVTVKVMVNV	1
mala1464	mal	Nebel::N	m u u ɖ a l m a ɲ ɲ ɨ	mudalma53	MYTALMANI	MVTVRMVNV	3
nucl1305	kan	Nebel::N	m ə ŋ d͡ʒ u	m3Nju	MENCY	MVNKV	2
tami1289	tam	Nebel::N	p ʌ n i m u u ʈ ʈ ʌ m	ponimutom	PENIMYTEM	PVNVMVTVM	1
telu1262	tel	Nebel::N	p o ɡ ʌ m ʌ̃ t͡ɕ u	pogomoCu	PUKEMECY	PVKVMVKV	3
mala1464	mal	neben::PRP	a ɖ u t t ɨ	adut3	ATYTI	VTVTV	1
nucl1305	kan	neben::PRP	ə d h ə r ə _ b ə l ɪ k a	3dh3r3b3lika	ETHERE_PELIKA	VTHVRV_PVRVKV	2
tami1289	tam	neben::PRP	ʌ ɖ u t t u	odutu	ETYTY	VTVTV	1
telu1262	tel	neben::PRP	d ʌ ɡ ɡ e r ʌ	dogero	TEKERE	TVKVRV	2
mala1464	mal	nehmen::V	e ɖ u k k u ɡ a	edukuga	ETYKYKA	VTVKVKV	1
nucl1305	kan	nehmen::V	h ɪ ɖ i	hidi	HITI	HVTV	2
tami1289	tam	nehmen::V	e ɖ u	edu	ETY	VTV	1
telu1262	tel	nehmen::V	t i i s i k o n u	tisikonu	TISIKUNY	TVSVKVNV	2
mala1464	mal	nennen::V	p e e ɾʲ i ɖ u ɡ a	periduga	PERITYKA	PVRVTVKV	1
nucl1305	kan	nennen::V	h ɛ s ə r ɪ ɖ u	hEs3ridu	HESERITY	HVSVRVTV	1
tami1289	tam	nennen::V	p e j ʌ ɾ i ɖ u t ʌ l	peyoridutol	PEJERITYTEL	PVJVRVTVTVR	1
telu1262	tel	nennen::V	p e e r u _ ʋ e ʈ ʈ u	peruwetu	PERY_WETY	PVRV_WVTV	1
mala1464	mal	Nest::N	k u u ɖ ɨ	kud3	KYTI	KVTV	1
nucl1305	kan	Nest::N	ɡ u u ɖ u	gudu	KYTY	KVTV	1
tami1289	tam	Nest::N	k u u ɖ u	kudu	KYTY	KVTV	1
telu1262	tel	Nest::N	p ʌ k ʂ i ɡ u u ɖ u	pokSigudu	PEKSIKYTY	PVKSVKVTV	1
mala1464	mal	Netz::N	ʋ a l a	wala	WALA	WVRV	1
nucl1305	kan	Netz::N	b ə l e	b3le	PELE	PVRV	1
tami1289	tam	Netz::N	ʋ ʌ l ʌ i	woloi	WELEI	WVRV	1
telu1262	tel	Netz::N	ʋ ʌ l ʌ	wolo	WELE	WVRV	1
mala1464	mal	neu::A	p u dʰ i j a	pudiya	PYTIJA	PVTVJV	2
nucl1305	kan	neu::A	h ɔ s a	hosa	HUSA	HVSV	2
tami1289	tam	neu::A	p u ð i j ʌ	pu8iyo	PYDIJE	PVTVJV	2
telu1262	tel	neu::A	k r o t t ʌ	kroto	KRUTE	KRVTV	1
mala1464	mal	Neuigkeit::N	ʋ a a ɾʲ t t a	warta	WARTA	WVRTV	2
nucl1305	kan	Neuigkeit::N	s ʊ d d i	sudi	SYTI	SVTV	2
